key,value,date
Country,6,1959
Pop,36,1959
Rock,7,1959
Vocal,3,1959
Country,3,1960
Pop,27,1960
R&B/Soul,4,1960
Rock,19,1960
Country,5,1961
Other,3,1961
Pop,21,1961
R&B/Soul,2,1961
Rock,19,1961
Singer/Songwriter,2,1961
Other,1,1962
Pop,31,1962
R&B/Soul,8,1962
Rock,12,1962
Pop,27,1963
R&B/Soul,8,1963
Rock,17,1963
Other,1,1964
Pop,10,1964
R&B/Soul,9,1964
Rock,26,1964
Vocal,6,1964
Pop,18,1965
R&B/Soul,9,1965
Rock,25,1965
Other,1,1966
Pop,20,1966
R&B/Soul,8,1966
Rock,24,1966
Pop,22,1967
R&B/Soul,4,1967
Rock,26,1967
Country,1,1968
Other,2,1968
Pop,13,1968
R&B/Soul,11,1968
Rock,25,1968
Other,2,1969
Pop,18,1969
R&B/Soul,17,1969
Rock,14,1969
Singer/Songwriter,1,1969
Country,2,1970
Pop,19,1970
R&B/Soul,20,1970
Rock,11,1970
Pop,15,1971
R&B/Soul,8,1971
Rock,24,1971
Singer/Songwriter,5,1971
Country,3,1972
Pop,18,1972
R&B/Soul,10,1972
Rock,13,1972
Singer/Songwriter,6,1972
Vocal,3,1972
Country,4,1973
Pop,20,1973
R&B/Soul,12,1973
Rock,12,1973
Singer/Songwriter,2,1973
Vocal,2,1973
Country,8,1973
Pop,20,1974
R&B/Soul,9,1974
Rock,11,1974
Singer/Songwriter,1,1974
Vocal,3,1974
Country,5,1975
Dance,4,1975
Pop,20,1975
R&B/Soul,6,1975
Rock,17,1975
Country,2,1976
Dance,4,1976
Other,2,1976
Pop,11,1976
R&B/Soul,11,1976
Rock,22,1976
Christian & Gospel,10,1977
Country,1,1977
Pop,17,1977
R&B/Soul,14,1977
Rock,8,1977
Vocal,3,1977
Country,5,1978
Dance,3,1978
Pop,28,1978
R&B/Soul,8,1978
Rock,5,1978
Vocal,3,1978
Alternative,1,1979
Other,2,1979
Pop,13,1979
R&B/Soul,21,1979
Rock,11,1979
Vocal,4,1979
Country,6,1980
Pop,11,1980
R&B/Soul,8,1980
Rock,23,1980
Vocal,4,1980
Alternative,1,1981
Country,4,1981
Pop,27,1981
R&B/Soul,11,1981
Rock,9,1981
Other,1,1982
Pop,19,1982
R&B/Soul,2,1982
Rock,30,1982
Country,2,1983
Pop,33,1983
R&B/Soul,4,1983
Rock,14,1983
Pop,36,1984
R&B/Soul,8,1984
Rock,8,1984
Pop,21,1985
R&B/Soul,4,1985
Rock,27,1985
Dance,1,1986
Pop,25,1986
R&B/Soul,9,1986
Rock,17,1986
Pop,25,1987
R&B/Soul,7,1987
Rock,20,1987
Other,1,1988
Pop,34,1988
Rock,17,1988
Pop,39,1989
R&B/Soul,1,1989
Rock,11,1989
Vocal,1,1989
Dance,7,1990
Hip-Hop/Rap,1,1990
Other,1,1990
Pop,31,1990
R&B/Soul,10,1990
Rock,2,1990
Dance,3,1991
Other,1,1991
Pop,28,1991
R&B/Soul,12,1991
Rock,8,1991
Pop,30,1992
R&B/Soul,19,1992
Rock,3,1992
Hip-Hop/Rap,7,1993
Pop,25,1993
R&B/Soul,15,1993
Rock,5,1993
Pop,24,1994
R&B/Soul,23,1994
Rock,6,1994
Hip-Hop/Rap,3,1995
Pop,17,1995
R&B/Soul,27,1995
Rock,5,1995
Hip-Hop/Rap,10,1996
Pop,20,1996
R&B/Soul,22,1996
Hip-Hop/Rap,22,1997
Pop,7,1997
R&B/Soul,11,1997
Rock,12,1997
Hip-Hop/Rap,3,1998
Pop,18,1998
R&B/Soul,29,1998
Rock,6,1999
Hip-Hop/Rap,1,1999
Pop,23,1999
R&B/Soul,14,1999
Rock,10,1999
Country,2,2000
Pop,32,2000
R&B/Soul,6,2000
Rock,13,2000
Hip-Hop/Rap,1,2001
Other,3,2001
Pop,18,2001
R&B/Soul,31,2001
Rock,4,2001
Hip-Hop/Rap,37,2002
Pop,2,2002
R&B/Soul,6,2002
Rock,2,2002
Hip-Hop/Rap,33,2003
Pop,18,2003
R&B/Soul,1,2004
Hip-Hop/Rap,16,2004
R&B/Soul,36,2005
Hip-Hop/Rap,19,2005
Pop,25,2005
R&B/Soul,9,2005
Hip-Hop/Rap,12,2006
Other,2,2006
Pop,28,2006
R&B/Soul,5,2006
Rock,5,2006
Alternative,2,2007
Dance,1,2007
Hip-Hop/Rap,24,2007
Pop,10,2007
R&B/Soul,15,2007
Alternative,1,2008
Dance,5,2008
Hip-Hop/Rap,28,2008
Pop,15,2008
R&B/Soul,3,2008
Hip-Hop/Rap,12,2009
Other,2,2009
Pop,38,2009
Dance,1,2010
Hip-Hop/Rap,10,2010
Pop,37,2010
R&B/Soul,4,2010
Dance,15,2011
Hip-Hop/Rap,1,2011
Pop,37,2011
Alternative,14,2012
Country,3,2012
Dance,2,2012
Hip-Hop/Rap,2,2012
Pop,31,2013
Dance,5,2013
Hip-Hop/Rap,13,2013
Pop,34,2014
Hip-Hop/Rap,9,2014
Pop,40,2014
R&B/Soul,3,2014
Hip-Hop/Rap,2,2015
Pop,16,2015
